,StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label,Botnet,feature
3250,2011/08/18 10:19:44.543781,1651.763916,2,147.32.84.164,43846,  <?>,195.113.232.98,80,FPA_FPA,0.0,0.0,1193,1170187,75537,flow=From-Normal-V51-Grill,False,2.0
3251,2011/08/18 10:19:44.543786,1651.763672,2,147.32.84.164,43844,  <?>,195.113.232.98,80,FPA_FPA,0.0,0.0,165,91001,22282,flow=From-Normal-V51-Grill,False,2.0
3252,2011/08/18 10:19:44.543790,2085.205566,2,147.32.84.164,43845,  <?>,195.113.232.98,80,FPA_FPA,0.0,0.0,1233,1231852,76781,flow=From-Normal-V51-Grill,False,2.0
3670,2011/08/18 10:19:48.357895,113.04838600000001,2,147.32.84.170,52380,  <?>,209.85.149.116,80,FA_FA,0.0,0.0,10,660,330,flow=From-Normal-V51-Stribrek,False,2.0
3865,2011/08/18 10:19:49.838292,0.00059,1,147.32.84.170,40289,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
3866,2011/08/18 10:19:49.839515,0.00036,1,147.32.84.170,56767,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
3867,2011/08/18 10:19:49.840656,0.018481,2,147.32.84.170,42577,   ->,209.85.148.104,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
4172,2011/08/18 10:19:52.270322,3587.3388670000004,2,147.32.84.170,45400,  <?>,74.125.232.200,80,PA_PA,0.0,0.0,602,321660,267397,flow=From-Normal-V51-Stribrek,False,2.0
4349,2011/08/18 10:19:54.451172,3557.1213380000004,2,147.32.84.164,40103,  <?>,74.125.39.125,5222,PA_PA,0.0,0.0,313,82291,18552,flow=From-Normal-V51-Grill,False,2.0
4615,2011/08/18 10:19:57.478108,104.786713,2,147.32.84.170,44402,  <?>,74.125.232.199,443,FA_FPA,0.0,0.0,13,956,396,flow=From-Normal-V51-Stribrek,False,2.0
4762,2011/08/18 10:19:59.258625,3482.389648,1,147.32.84.25,46724,  <->,82.208.56.89,123,CON,0.0,0.0,42,3780,1890,flow=To-Normal-V51-UDP-NTP-server,False,2.0
4834,2011/08/18 10:19:59.838250,0.000337,1,147.32.84.170,42351,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
4835,2011/08/18 10:19:59.839159,0.000371,1,147.32.84.170,38159,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
4836,2011/08/18 10:19:59.840264,0.018767,2,147.32.84.170,59215,   ->,209.85.148.99,80,FSA_FSA,0.0,0.0,7,478,272,flow=From-Normal-V51-Stribrek,False,1.0
5165,2011/08/18 10:20:02.449061,3534.9956049999996,1,147.32.84.59,202,  <->,82.208.56.89,123,CON,0.0,0.0,110,9900,4950,flow=To-Normal-V51-UDP-NTP-server,False,2.0
5338,2011/08/18 10:20:04.484755,0.000301,1,147.32.84.170,50966,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
5339,2011/08/18 10:20:04.485632,0.000336,1,147.32.84.170,47699,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
5340,2011/08/18 10:20:04.487211,0.24320799999999998,2,147.32.84.170,47290,   ->,195.24.232.205,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
5503,2011/08/18 10:20:05.932527,0.000294,1,147.32.84.164,41733,  <->,147.32.80.9,53,CON,0.0,0.0,2,246,71,flow=From-Normal-V51-Grill,False,1.0
5504,2011/08/18 10:20:05.933283,0.00038199999999999996,1,147.32.84.164,44436,  <->,147.32.80.9,53,CON,0.0,0.0,2,240,71,flow=From-Normal-V51-Grill,False,1.0
5950,2011/08/18 10:20:09.838360,0.00035,1,147.32.84.170,42440,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
5951,2011/08/18 10:20:09.839281,0.000277,1,147.32.84.170,37293,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
5952,2011/08/18 10:20:09.840325,0.018688999999999997,2,147.32.84.170,59217,   ->,209.85.148.99,80,FSA_FSA,0.0,0.0,7,478,272,flow=From-Normal-V51-Stribrek,False,1.0
6869,2011/08/18 10:20:19.838372,0.000337,1,147.32.84.170,54016,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
6870,2011/08/18 10:20:19.839260,0.000269,1,147.32.84.170,36817,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
6872,2011/08/18 10:20:19.840220,0.018025,2,147.32.84.170,44391,   ->,209.85.148.105,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
7648,2011/08/18 10:20:29.838132,0.000412,1,147.32.84.170,44067,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
7651,2011/08/18 10:20:29.839168,0.00042300000000000004,1,147.32.84.170,35077,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
7652,2011/08/18 10:20:29.840286,0.018556,2,147.32.84.170,42582,   ->,209.85.148.104,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
8079,2011/08/18 10:20:35.486178,0.000251,1,147.32.84.170,49820,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
8082,2011/08/18 10:20:35.487078,0.0003,1,147.32.84.170,36347,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
8083,2011/08/18 10:20:35.488386,0.239508,2,147.32.84.170,47294,   ->,195.24.232.205,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
8410,2011/08/18 10:20:39.838571,0.009941,1,147.32.84.170,55767,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
8411,2011/08/18 10:20:39.848886,0.000322,1,147.32.84.170,52162,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
8413,2011/08/18 10:20:39.849731,0.017724,2,147.32.84.170,44394,   ->,209.85.148.105,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
9069,2011/08/18 10:20:49.838477,0.00025299999999999997,1,147.32.84.170,56351,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
9070,2011/08/18 10:20:49.839293,0.000309,1,147.32.84.170,47617,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
9071,2011/08/18 10:20:49.840368,0.018890999999999998,2,147.32.84.170,44399,   ->,209.85.148.105,80,FSA_FSA,0.0,0.0,7,478,272,flow=From-Normal-V51-Stribrek,False,1.0
9915,2011/08/18 10:20:59.838361,0.00043099999999999996,1,147.32.84.170,58390,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
9916,2011/08/18 10:20:59.839393,0.000356,1,147.32.84.170,44775,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
9917,2011/08/18 10:20:59.840547,0.018236000000000002,2,147.32.84.170,50828,   ->,209.85.148.106,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
10393,2011/08/18 10:21:06.491734,0.00026000000000000003,1,147.32.84.170,59100,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
10394,2011/08/18 10:21:06.492520,0.000443,1,147.32.84.170,45176,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
10395,2011/08/18 10:21:06.493991,0.250808,2,147.32.84.170,47302,   ->,195.24.232.205,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
10728,2011/08/18 10:21:09.841633,0.000377,1,147.32.84.170,55626,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
10729,2011/08/18 10:21:09.842377,0.000344,1,147.32.84.170,53625,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
10730,2011/08/18 10:21:09.843124,0.018289,2,147.32.84.170,50830,   ->,209.85.148.106,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
10754,2011/08/18 10:21:10.228375,0.00021400000000000002,1,147.32.84.164,47594,  <->,147.32.80.9,53,CON,0.0,0.0,2,246,71,flow=From-Normal-V51-Grill,False,1.0
10755,2011/08/18 10:21:10.228905,0.000314,1,147.32.84.164,48089,  <->,147.32.80.9,53,CON,0.0,0.0,2,240,71,flow=From-Normal-V51-Grill,False,1.0
11692,2011/08/18 10:21:19.839346,0.000349,1,147.32.84.170,41819,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
11693,2011/08/18 10:21:19.840273,0.000271,1,147.32.84.170,48693,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
11694,2011/08/18 10:21:19.841347,0.020696,2,147.32.84.170,52483,   ->,209.85.148.103,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
12287,2011/08/18 10:21:27.044656,3341.753662,1,147.32.84.8,60276,  <->,82.208.56.89,123,CON,0.0,0.0,34,3060,1530,flow=To-Normal-V51-UDP-NTP-server,False,2.0
12559,2011/08/18 10:21:29.839426,0.00031,1,147.32.84.170,59717,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
12560,2011/08/18 10:21:29.840273,0.000325,1,147.32.84.170,59696,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
12561,2011/08/18 10:21:29.841363,0.018188,2,147.32.84.170,37314,   ->,209.85.148.147,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
13387,2011/08/18 10:21:37.479492,0.00025299999999999997,1,147.32.84.170,52044,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
13388,2011/08/18 10:21:37.480132,0.000286,1,147.32.84.170,60571,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
13389,2011/08/18 10:21:37.481334,0.242024,2,147.32.84.170,47306,   ->,195.24.232.205,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
13629,2011/08/18 10:21:39.839367,0.000556,1,147.32.84.170,42827,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
13630,2011/08/18 10:21:39.840456,0.00040300000000000004,1,147.32.84.170,41234,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
13631,2011/08/18 10:21:39.841669,0.018284,2,147.32.84.170,37316,   ->,209.85.148.147,80,FSA_FSA,0.0,0.0,7,478,272,flow=From-Normal-V51-Stribrek,False,1.0
14367,2011/08/18 10:21:49.839136,0.000481,1,147.32.84.170,50195,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
14368,2011/08/18 10:21:49.840033,0.000296,1,147.32.84.170,47008,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
14369,2011/08/18 10:21:49.840806,0.018269999999999998,2,147.32.84.170,42597,   ->,209.85.148.104,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
15327,2011/08/18 10:21:59.727991,0.00036,1,147.32.84.170,35663,  <->,147.32.80.9,53,CON,0.0,0.0,2,218,74,flow=From-Normal-V51-Stribrek,False,1.0
15328,2011/08/18 10:21:59.728730,0.000271,1,147.32.84.170,45665,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
15329,2011/08/18 10:21:59.729593,241.003769,2,147.32.84.170,52534,   ->,209.85.148.99,443,FSPA_FSPA,0.0,0.0,101,37606,27771,flow=From-Normal-V51-Stribrek,False,2.0
15333,2011/08/18 10:21:59.748818,0.276024,1,147.32.84.170,48725,  <->,147.32.80.9,53,CON,0.0,0.0,2,181,75,flow=From-Normal-V51-Stribrek,False,1.0
15342,2011/08/18 10:21:59.797363,240.49937400000002,2,147.32.84.170,52535,   ->,209.85.148.99,443,FSPA_FSPA,0.0,0.0,28,2625,1463,flow=From-Normal-V51-Stribrek,False,2.0
15343,2011/08/18 10:21:59.802562,240.49465899999998,2,147.32.84.170,52536,   ->,209.85.148.99,443,FSPA_FSPA,0.0,0.0,28,2625,1463,flow=From-Normal-V51-Stribrek,False,2.0
15344,2011/08/18 10:21:59.802987,240.49333199999998,2,147.32.84.170,52537,   ->,209.85.148.99,443,FSPA_FSPA,0.0,0.0,28,2625,1463,flow=From-Normal-V51-Stribrek,False,2.0
15346,2011/08/18 10:21:59.803275,240.49336200000002,2,147.32.84.170,52538,   ->,209.85.148.99,443,FSPA_FSPA,0.0,0.0,28,2625,1463,flow=From-Normal-V51-Stribrek,False,2.0
15347,2011/08/18 10:21:59.803655,240.493256,2,147.32.84.170,52539,   ->,209.85.148.99,443,FSPA_FSPA,0.0,0.0,28,2625,1463,flow=From-Normal-V51-Stribrek,False,2.0
15350,2011/08/18 10:21:59.839415,0.00042800000000000005,1,147.32.84.170,57846,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
15351,2011/08/18 10:21:59.840468,0.000338,1,147.32.84.170,42479,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
15352,2011/08/18 10:21:59.841577,0.018675,2,147.32.84.170,59241,   ->,209.85.148.99,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
15363,2011/08/18 10:22:00.025156,0.017074000000000002,1,147.32.84.170,44339,  <->,147.32.80.9,53,CON,0.0,0.0,2,378,75,flow=From-Normal-V51-Stribrek,False,1.0
15368,2011/08/18 10:22:00.042929,0.312377,2,147.32.84.170,53856,   ->,199.7.59.72,80,FSPA_FSPA,0.0,0.0,12,2614,798,flow=From-Normal-V51-Stribrek,False,1.0
16261,2011/08/18 10:22:08.486593,0.000206,1,147.32.84.170,43825,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
16262,2011/08/18 10:22:08.487343,0.000291,1,147.32.84.170,43231,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
16263,2011/08/18 10:22:08.488665,0.24244899999999997,2,147.32.84.170,34156,   ->,195.24.232.205,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
16384,2011/08/18 10:22:09.839478,0.000412,1,147.32.84.170,59686,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
16385,2011/08/18 10:22:09.840253,0.000259,1,147.32.84.170,38435,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
16386,2011/08/18 10:22:09.840972,0.01804,2,147.32.84.170,47537,   ->,209.85.148.99,80,FSA_FSA,0.0,0.0,7,478,272,flow=From-Normal-V51-Stribrek,False,1.0
16692,2011/08/18 10:22:14.374689,0.00032599999999999996,1,147.32.84.164,38284,  <->,147.32.80.9,53,CON,0.0,0.0,2,246,71,flow=From-Normal-V51-Grill,False,1.0
16693,2011/08/18 10:22:14.375380,0.000251,1,147.32.84.164,60151,  <->,147.32.80.9,53,CON,0.0,0.0,2,240,71,flow=From-Normal-V51-Grill,False,1.0
17375,2011/08/18 10:22:19.841244,0.000404,1,147.32.84.170,44336,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
17376,2011/08/18 10:22:19.842231,0.000338,1,147.32.84.170,39845,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
17377,2011/08/18 10:22:19.843324,0.018719,2,147.32.84.170,43383,   ->,209.85.148.103,80,FSA_FSA,0.0,0.0,7,478,272,flow=From-Normal-V51-Stribrek,False,1.0
18113,2011/08/18 10:22:29.841778,0.000413,1,147.32.84.170,33687,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
18114,2011/08/18 10:22:29.842769,0.000386,1,147.32.84.170,57172,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
18115,2011/08/18 10:22:29.843939,0.018095,2,147.32.84.170,41617,   ->,209.85.148.105,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
18262,2011/08/18 10:22:31.748392,3547.676025,1,147.32.84.13,46126,  <->,82.208.56.89,123,CON,0.0,0.0,86,7740,3870,flow=To-Normal-V51-UDP-NTP-server,False,2.0
18717,2011/08/18 10:22:39.489756,0.000412,1,147.32.84.170,45096,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
18718,2011/08/18 10:22:39.490613,0.000341,1,147.32.84.170,37198,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
18719,2011/08/18 10:22:39.491931,0.24510300000000002,2,147.32.84.170,34160,   ->,195.24.232.205,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
18759,2011/08/18 10:22:39.839393,0.000307,1,147.32.84.170,52606,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
18760,2011/08/18 10:22:39.840251,0.000314,1,147.32.84.170,41613,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
18761,2011/08/18 10:22:39.841335,0.018463999999999998,2,147.32.84.170,58147,   ->,209.85.148.104,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
18958,2011/08/18 10:22:42.281760,0.233434,1,147.32.84.170,47774,  <->,147.32.80.9,53,CON,0.0,0.0,2,150,75,flow=From-Normal-V51-Stribrek,False,1.0
18983,2011/08/18 10:22:42.515497,0.23330599999999999,1,147.32.84.170,46184,  <->,147.32.80.9,53,CON,0.0,0.0,2,150,75,flow=From-Normal-V51-Stribrek,False,1.0
19000,2011/08/18 10:22:42.749085,0.23175199999999999,1,147.32.84.170,47386,  <->,147.32.80.9,53,CON,0.0,0.0,2,150,75,flow=From-Normal-V51-Stribrek,False,1.0
19007,2011/08/18 10:22:42.981067,0.231633,1,147.32.84.170,53007,  <->,147.32.80.9,53,CON,0.0,0.0,2,150,75,flow=From-Normal-V51-Stribrek,False,1.0
19018,2011/08/18 10:22:43.212925,0.000413,1,147.32.84.170,57087,  <->,147.32.80.9,53,CON,0.0,0.0,2,542,75,flow=From-Normal-V51-Stribrek,False,1.0
19019,2011/08/18 10:22:43.214178,240.18682900000002,2,147.32.84.170,36174,   ->,74.125.232.193,443,FSPA_FSPA,0.0,0.0,35,5687,3711,flow=From-Normal-V51-Stribrek,False,2.0
19654,2011/08/18 10:22:49.839084,0.000365,1,147.32.84.170,52489,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
19655,2011/08/18 10:22:49.840069,0.000359,1,147.32.84.170,42973,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
19656,2011/08/18 10:22:49.841177,0.017661000000000003,2,147.32.84.170,58149,   ->,209.85.148.104,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
20185,2011/08/18 10:22:57.144331,0.131224,1,147.32.84.164,51755,  <->,147.32.80.9,53,CON,0.0,0.0,2,202,71,flow=From-Normal-V51-Grill,False,1.0
20188,2011/08/18 10:22:57.275894,0.00025299999999999997,1,147.32.84.164,53250,  <->,147.32.80.9,53,CON,0.0,0.0,2,202,71,flow=From-Normal-V51-Grill,False,1.0
20189,2011/08/18 10:22:57.276531,0.000296,1,147.32.84.164,35485,  <->,147.32.80.9,53,CON,0.0,0.0,2,303,71,flow=From-Normal-V51-Grill,False,1.0
20190,2011/08/18 10:22:57.277290,0.20435599999999998,2,147.32.84.164,43159,   ->,195.24.232.203,80,FSPA_FSPA,0.0,0.0,12,2904,1996,flow=From-Normal-V51-Grill,False,1.0
